#x=tau [fm/c]	y=eta	z=az Spin Potential
1	-10.1	-0.002800035850418034
1	-9.9	-0.0030945718383169475
1	-9.7	-0.003420137731294643
1	-9.5	-0.003779956158023658
1	-9.299999999999999	-0.004177663279872394
1	-9.1	-0.004617243341633885
1	-8.899999999999999	-0.0051031469492724725
1	-8.7	-0.005640245164685047
1	-8.5	-0.006233973691585055
1	-8.299999999999999	-0.006890338095782591
1	-8.1	-0.0076159693393896555
1	-7.8999999999999995	-0.008418285380944005
1	-7.699999999999999	-0.009305420344012506
1	-7.5	-0.01028649168274315
1	-7.299999999999999	-0.011371586947000942
1	-7.1	-0.012571903686017693
1	-6.8999999999999995	-0.013900035520429095
1	-6.699999999999999	-0.015369847820698803
1	-6.5	-0.016997047001680518
1	-6.299999999999999	-0.018799095327754346
1	-6.1	-0.020795602009014695
1	-5.8999999999999995	-0.02300891059373091
1	-5.699999999999999	-0.02546384591541618
1	-5.499999999999999	-0.02818916943673975
1	-5.299999999999999	-0.03121718223573894
1	-5.1	-0.03458502752384469
1	-4.8999999999999995	-0.03833592305039219
1	-4.699999999999999	-0.04251880197832659
1	-4.499999999999999	-0.04719207861706601
1	-4.299999999999999	-0.052422234386637095
1	-4.1	-0.05828806882541609
1	-3.8999999999999995	-0.06488144478065622
1	-3.6999999999999993	-0.07230971524621985
1	-3.499999999999999	-0.08069618727608473
1	-3.299999999999999	-0.09018313907169667
1	-3.0999999999999996	-0.10093105897776795
1	-2.8999999999999995	-0.11310029868905043
1	-2.6999999999999993	-0.12688123410269583
1	-2.499999999999999	-0.14236946377476425
1	-2.299999999999999	-0.15967611990961778
1	-2.0999999999999996	-0.17869498568844716
1	-1.8999999999999986	-0.1990424355167392
1	-1.6999999999999993	-0.21993900393664398
1	-1.5	-0.2397658086145587
1	-1.299999999999999	-0.2559666317515547
1	-1.0999999999999996	-0.26462707291116094
1	-0.8999999999999986	-0.2608625329221848
1	-0.6999999999999993	-0.23877626761366996
1	-0.4999999999999982	-0.19469562186782016
1	-0.29999999999999893	-0.1282304227016049
1	-0.09999999999999964	-0.04449680780955489
1	0.10000000000000142	0.045241434424965456
1	0.3000000000000007	0.1285590062337438
1	0.5000000000000018	0.19450668621026343
1	0.7000000000000011	0.23860912234267012
1	0.9000000000000004	0.26032264043285447
1	1.1000000000000014	0.26440197343880717
1	1.3000000000000007	0.2558341872440692
1	1.5000000000000018	0.2397709806564788
1	1.700000000000001	0.2199529964383375
1	1.9000000000000004	0.19911672486562296
1	2.1000000000000014	0.17873841158299958
1	2.3000000000000007	0.15970904285900966
1	2.5000000000000018	0.14240084405335487
1	2.700000000000001	0.12688218841913193
1	2.9000000000000004	0.11311320885811937
1	3.1000000000000014	0.10093408270685646
1	3.3000000000000007	0.09018604688797503
1	3.5000000000000018	0.08069719621345632
1	3.700000000000001	0.07230975236011039
1	3.9000000000000004	0.06488119599202932
1	4.100000000000001	0.05828773799517105
1	4.300000000000001	0.05242183168167634
1	4.500000000000002	0.04719154928476422
1	4.700000000000001	0.042518722788410464
1	4.9	0.03833546862593886
1	5.100000000000001	0.03458486389981065
1	5.300000000000001	0.03121692737156604
1	5.500000000000002	0.028188951633806324
1	5.700000000000001	0.025463787496806403
1	5.9	0.02300873447156144
1	6.1	0.020795552177586347
1	6.3000000000000025	0.018798993276114236
1	6.500000000000002	0.016996969189228606
1	6.700000000000001	0.015369817011179078
1	6.9	0.013899966231326047
1	7.1	0.012571887851266693
1	7.3000000000000025	0.011371541976208403
1	7.500000000000002	0.01028645959423756
1	7.700000000000001	0.00930540310460526
1	7.9	0.008418253184720687
1	8.1	0.007615964031382068
1	8.300000000000002	0.006890314799634127
1	8.500000000000002	0.006233958392463391
1	8.700000000000001	0.005640234478890041
1	8.9	0.005103129913372556
1	9.100000000000003	0.004617241848909588
1	9.300000000000002	0.004177649891473282
1	9.500000000000002	0.0037799561580237023
1	9.700000000000001	0.003420137731295045
1	9.9	0.003094571838318174
1	10.100000000000003	0.002800035850420618
1.0001	-10.1	-0.002799896143673592
1.0001	-9.9	-0.0030944174485068635
1.0001	-9.7	-0.0034199671672924376
1.0001	-9.5	-0.003779767750982386
1.0001	-9.299999999999999	-0.004177455174738413
1.0001	-9.1	-0.004617013499451336
1.0001	-8.899999999999999	-0.005102893132978551
1.0001	-8.7	-0.005639964917558446
1.0001	-8.5	-0.006233664319405714
1.0001	-8.299999999999999	-0.0068899966493999295
1.0001	-8.1	-0.0076155925957064165
1.0001	-7.8999999999999995	-0.008417869829455351
1.0001	-7.699999999999999	-0.009304962168365995
1.0001	-7.5	-0.010285986754416025
1.0001	-7.299999999999999	-0.011371030819931054
1.0001	-7.1	-0.012571291595649636
1.0001	-6.8999999999999995	-0.013899362417229316
1.0001	-6.699999999999999	-0.015369108380496757
1.0001	-6.5	-0.01699623571392493
1.0001	-6.299999999999999	-0.018798206572413614
1.0001	-6.1	-0.020794630187538028
1.0001	-5.8999999999999995	-0.02300785038483239
1.0001	-5.699999999999999	-0.02546269246225665
1.0001	-5.499999999999999	-0.02818791885725405
1.0001	-5.299999999999999	-0.03121583203990664
1.0001	-5.1	-0.034583577332030636
1.0001	-4.8999999999999995	-0.03833437560637211
1.0001	-4.699999999999999	-0.042517164082596266
1.0001	-4.499999999999999	-0.04719036294662516
1.0001	-4.299999999999999	-0.052420460994970344
1.0001	-4.1	-0.058286267600450914
1.0001	-3.8999999999999995	-0.06487965817674339
1.0001	-3.6999999999999993	-0.07230800127639134
1.0001	-3.499999999999999	-0.08069462347300929
1.0001	-3.299999999999999	-0.09018182623969664
1.0001	-3.0999999999999996	-0.10093012601803848
